X,CH1,CH2,
Second,Volt,Volt,
-3.00000e-06,8.80e-01,1.20e-02,
-2.99000e-06,1.12e+00,1.20e-02,
-2.98000e-06,1.36e+00,1.20e-02,
-2.97000e-06,1.44e+00,1.20e-02,
-2.96000e-06,1.52e+00,1.20e-02,
-2.95000e-06,1.52e+00,1.20e-02,
-2.94000e-06,1.52e+00,1.20e-02,
-2.93000e-06,1.36e+00,1.20e-02,
-2.92000e-06,1.28e+00,1.20e-02,
-2.91000e-06,1.04e+00,1.20e-02,
-2.90000e-06,8.80e-01,8.00e-03,
-2.89000e-06,5.60e-01,8.00e-03,
-2.88000e-06,2.40e-01,8.00e-03,
-2.87000e-06,-7.99e-02,8.00e-03,
-2.86000e-06,-3.20e-01,1.20e-02,
-2.85000e-06,-6.40e-01,4.00e-03,
-2.84000e-06,-9.60e-01,8.00e-03,
-2.83000e-06,-1.20e+00,4.00e-03,
-2.82000e-06,-1.36e+00,4.00e-03,
-2.81000e-06,-1.52e+00,4.00e-03,
-2.80000e-06,-1.68e+00,4.00e-03,
-2.79000e-06,-1.68e+00,4.00e-03,
-2.78000e-06,-1.76e+00,4.00e-03,
-2.77000e-06,-1.68e+00,4.00e-03,
-2.76000e-06,-1.52e+00,4.00e-03,
-2.75000e-06,-1.36e+00,4.00e-03,
-2.74000e-06,-1.20e+00,8.00e-03,
-2.73000e-06,-9.60e-01,8.00e-03,
-2.72000e-06,-6.40e-01,8.00e-03,
-2.71000e-06,-4.00e-01,8.00e-03,
-2.70000e-06,-7.99e-02,8.00e-03,
-2.69000e-06,2.40e-01,1.20e-02,
-2.68000e-06,5.60e-01,8.00e-03,
-2.67000e-06,8.00e-01,1.20e-02,
-2.66000e-06,1.04e+00,1.20e-02,
-2.65000e-06,1.28e+00,1.20e-02,
-2.64000e-06,1.36e+00,1.20e-02,
-2.63000e-06,1.44e+00,1.20e-02,
-2.62000e-06,1.60e+00,1.20e-02,
-2.61000e-06,1.52e+00,1.60e-02,
-2.60000e-06,1.44e+00,1.60e-02,
-2.59000e-06,1.28e+00,1.20e-02,
-2.58000e-06,1.12e+00,1.20e-02,
-2.57000e-06,8.80e-01,1.20e-02,
-2.56000e-06,6.40e-01,8.00e-03,
-2.55000e-06,4.00e-01,1.20e-02,
-2.54000e-06,0.00e+00,8.00e-03,
-2.53000e-06,-3.20e-01,1.20e-02,
-2.52000e-06,-4.80e-01,8.00e-03,
-2.51000e-06,-8.00e-01,8.00e-03,
